💓专享卫视,#genre#
(1086),http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.m3u8?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
(1085),https://lunbo.freetv.top/douyu/488743
(282),http://111.43.126.240:9003/hls/47/index.m3u8
(276),http://111.43.126.240:9003/hls/39/index.m3u8
(727),http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226898/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0uh4lyjjBCCN7TCq21vSIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
(728),http://wouu.net:9977/udp/239.93.0.123:5140
(729),http://lu.wqwqwq.sbs/itv/1000000005000265018.m3u8?cdn=ystenlive
(730),http://tvbox6.com/tv/bfgd.php?id=093
(733),http://alvin.ergotron.net:8000/udp/239.77.1.218:5146
(725),http://gfr.x3322.net:9901/tsfile/live/1085_1.m3u8
(724),https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
(726),http://112.80.203.154:9003/hls/23/index.m3u8
(731),http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797/1.m3u8
(732),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
(294),http://111.43.126.240:9003/hls/60/index.m3u8
(265),http://8.138.7.223/tv/btws.m3u8
(268),http://8.138.7.223/tv/btws.m3u8
(258),http://39.137.75.234/000000001000/1000000002000014080/index.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=no
(747),https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
(297),http://111.43.126.240:9003/hls/63/index.m3u8
(714),http://111.227.196.164:9901/tsfile/live/0122_1.m3u8
(278),http://111.43.126.240:9003/hls/41/index.m3u8
(713),http://gfr.x3322.net:9901/tsfile/live/1089_1.m3u8
(261),http://39.137.75.234/000000001000/1000000005000266006/index.m3u8?channel-id=ystenlive&Contentid=1000000005000266006&livemode=1&stbId=no
(744),http://111.227.196.164:9901/tsfile/live/0116_1.m3u8
(281),http://111.43.126.240:9003/hls/45/index.m3u8
(284),http://111.43.126.240:9003/hls/50/index.m3u8
(751),http://222.128.55.152:9080/live/dwq.m3u8
(279),http://111.43.126.240:9003/hls/43/index.m3u8
(748),http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
(749),http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
(295),http://111.43.126.240:9003/hls/61/index.m3u8
(684),http://112.80.203.154:9003/hls/30/index.m3u8
(685),http://drive.mxmy.net:8888/udp/239.3.1.142:8048
(690),http://tvbox6.com/tv/bfgd.php?id=092
(689),http://lu.wqwqwq.sbs/itv/1000000005000265034.m3u8?cdn=ystenlive
(688),http://wouu.net:9977/udp/239.93.0.181:5140
(687),http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226961/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2MGyx659D_aaDPP0qt3NgA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
(686),http://j.x.bkpcp.top/jx/GUANGDHD
(681),https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
(682),http://gfr.x3322.net:9901/tsfile/live/1096_1.m3u8
(683),http://111.227.196.164:9901/tsfile/live/0125_1.m3u8
(734),http://111.227.196.164:9901/tsfile/live/0113_1.m3u8
(296),http://111.43.126.240:9003/hls/62/index.m3u8
(299),http://111.43.126.240:9003/hls/65/index.m3u8
(298),http://111.43.126.240:9003/hls/64/index.m3u8
(746),http://112.80.203.154:9003/hls/16/index.m3u8
(275),http://111.43.126.240:9003/hls/38/index.m3u8
(745),http://111.227.196.164:9901/tsfile/live/0127_1.m3u8
(283),http://111.43.126.240:9003/hls/49/index.m3u8
(290),http://111.43.126.240:9003/hls/56/index.m3u8
(741),http://111.227.196.164:9901/tsfile/live/0117_1.m3u8
(740),http://drive.mxmy.net:8888/udp/239.3.1.148:8072
(739),http://gfr.x3322.net:9901/tsfile/live/1091_1.m3u8
(280),http://111.43.126.240:9003/hls/44/index.m3u8
(743),http://111.227.196.164:9901/tsfile/live/0139_1.m3u8
(742),http://1.94.31.214/php/hntv.php
(196),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873464.m3u8
(277),http://111.43.126.240:9003/hls/40/index.m3u8
(267),http://8.138.7.223/tv/zjws.m3u8
(273),http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
(264),http://8.138.7.223/tv/zjws.m3u8
(699),https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
(700),http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
(701),http://111.227.196.164:9901/tsfile/live/0124_1.m3u8
(702),http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8
(272),https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
